analysis_set	pattern	sv_type	boundary_class	analysis_type	same_direction	array_n_case	array_n_control	array_n_eff	array_weight	array_beta	array_se	array_or	array_p_two	array_p_one	array_p_main	mssng_n_case	mssng_n_control	mssng_n_eff	mssng_weight	mssng_beta	mssng_se	mssng_or	mssng_p_two	mssng_p_one	stouffer_z_meta	stouffer_p_one_positive	stouffer_p_two	stouffer_p_sensitivity
NEGCTRL_DUP_pattern_A	A	DUP	pfc_inh_mge	negative_control	False	838	3583	2716.63	52.1213	-0.0584807	0.165068	0.943196	0.723128		0.723128	5955	511	1882.47	43.3874	0.115742	0.145025	1.12271	0.424824		0.238304	0.405822	0.811645	0.811645
SECONDARY_C_nonsig2_exploratory	C	DEL	hpc_exc_ca	SECONDARY_pattern_c	True	838	3583	2716.63	52.1213	0.285875	0.292487	1.33093	0.328374		0.328374	5955	511	1882.47	43.3874	0.354175	0.639259	1.425	0.579552	0.579552	1.10565	0.134439	0.268879	0.268879
SECONDARY_C_sig8_main	C	DEL	hpc_exc_dg	SECONDARY_pattern_c	False	838	3583	2716.63	52.1213	-0.18197	0.344269	0.833626	0.597105	0.701448	0.701448	5955	511	1882.47	43.3874	0.365583	0.561875	1.44135	0.515274	0.257637	0.0100295	0.495999	0.991998	0.495999
SECONDARY_C_sig8_main	C	DEL	hpc_exc_ent	SECONDARY_pattern_c	True	838	3583	2716.63	52.1213	0.154659	0.287012	1.16726	0.589983	0.294992	0.294992	5955	511	1882.47	43.3874	0.854757	0.509207	2.3508	0.0932295	0.0466147	1.48808	0.0683655	0.136731	0.0683655
SECONDARY_C_sig8_main	C	DEL	hpc_inh_cge	SECONDARY_pattern_c	True	838	3583	2716.63	52.1213	0.388841	0.362579	1.47527	0.283527	0.141763	0.141763	5955	511	1882.47	43.3874	1.1195	0.695753	3.06331	0.107607	0.0538036	1.85366	0.0318942	0.0637884	0.0318942
SECONDARY_C_sig8_main	C	DEL	hpc_inh_mge	SECONDARY_pattern_c	False	838	3583	2716.63	52.1213	-0.116131	0.490111	0.890359	0.812697	0.593652	0.593652	5955	511	1882.47	43.3874	0.232804	0.629485	1.26213	0.711508	0.355754	0.0544986	0.478269	0.956538	0.478269
SECONDARY_C_nonsig2_exploratory	C	DEL	pfc_astro	SECONDARY_pattern_c	True	838	3583	2716.63	52.1213	0.371774	0.300644	1.45031	0.216239		0.216239	5955	511	1882.47	43.3874	0.557368	0.509545	1.74607	0.274019	0.274019	1.65022	0.0494492	0.0988984	0.0988984
SECONDARY_C_sig8_main	C	DEL	pfc_exc_dl	SECONDARY_pattern_c	True	838	3583	2716.63	52.1213	0.401535	0.252148	1.49412	0.111282	0.0556409	0.0556409	5955	511	1882.47	43.3874	1.05808	0.528386	2.88082	0.0452344	0.0226172	2.50503	0.00612201	0.012244	0.00612201
SECONDARY_C_sig8_main	C	DEL	pfc_exc_ul	SECONDARY_pattern_c	True	838	3583	2716.63	52.1213	0.0521802	0.263958	1.05357	0.843292	0.421646	0.421646	5955	511	1882.47	43.3874	1.08704	0.620979	2.96547	0.0800285	0.0400143	1.27187	0.101709	0.203419	0.101709
SECONDARY_C_sig8_main	C	DEL	pfc_inh_cge	SECONDARY_pattern_c	True	838	3583	2716.63	52.1213	0.155433	0.274398	1.16816	0.571088	0.285544	0.285544	5955	511	1882.47	43.3874	0.372904	0.420816	1.45194	0.37554	0.18777	1.00228	0.158103	0.316206	0.158103
SECONDARY_C_sig8_main	C	DEL	pfc_inh_mge	SECONDARY_pattern_c	True	838	3583	2716.63	52.1213	0.195722	0.313992	1.21619	0.533066	0.266533	0.266533	5955	511	1882.47	43.3874	1.37086	0.692731	3.93873	0.0478251	0.0239125	1.74513	0.0404808	0.0809616	0.0404808
NEGCTRL_STATIC_pattern_C	C	DEL	static_all	negative_control	False	838	3583	2716.63	52.1213	-0.00227277	0.0170845	0.99773	0.894168		0.894168	5955	511	1882.47	43.3874	0.0234449	0.0267096	1.02372	0.380068		0.459333	0.322998	0.645995	0.645995
NEGCTRL_DUP_pattern_C	C	DUP	hpc_exc_ca	negative_control	False	838	3583	2716.63	52.1213	-0.0248261	0.225162	0.97548	0.912204		0.912204	5955	511	1882.47	43.3874	0.220898	0.283067	1.2472	0.435171		0.414523	0.339246	0.678491	0.678491
NEGCTRL_DUP_pattern_C	C	DUP	hpc_exc_dg	negative_control	False	838	3583	2716.63	52.1213	-0.206217	0.240626	0.813656	0.391444		0.391444	5955	511	1882.47	43.3874	0.655468	0.356808	1.92604	0.0662049		0.516629	0.302707	0.605415	0.605415
NEGCTRL_DUP_pattern_C	C	DUP	hpc_exc_ent	negative_control	False	838	3583	2716.63	52.1213	-0.0719065	0.196354	0.930618	0.714209		0.714209	5955	511	1882.47	43.3874	0.553686	0.254437	1.73965	0.029546		1.11078	0.133333	0.266665	0.266665
NEGCTRL_DUP_pattern_C	C	DUP	hpc_inh_cge	negative_control	True	838	3583	2716.63	52.1213	0.0884778	0.230312	1.09251	0.700856		0.700856	5955	511	1882.47	43.3874	0.176209	0.320855	1.19269	0.582878		0.64661	0.258942	0.517884	0.517884
NEGCTRL_DUP_pattern_C	C	DUP	hpc_inh_mge	negative_control	False	838	3583	2716.63	52.1213	-0.221888	0.288277	0.801005	0.441475		0.441475	5955	511	1882.47	43.3874	0.185007	0.363589	1.20323	0.610867		-0.266025	0.60489	0.79022	0.79022
NEGCTRL_DUP_pattern_C	C	DUP	pfc_astro	negative_control	True	838	3583	2716.63	52.1213	0.266407	0.191251	1.30527	0.163629		0.163629	5955	511	1882.47	43.3874	0.290156	0.311767	1.33664	0.352018		1.66601	0.0478556	0.0957112	0.0957112
NEGCTRL_DUP_pattern_C	C	DUP	pfc_exc_dl	negative_control	False	838	3583	2716.63	52.1213	-0.214674	0.184161	0.806804	0.243741		0.243741	5955	511	1882.47	43.3874	0.613497	0.26493	1.84688	0.0205751		0.585619	0.279066	0.558132	0.558132
NEGCTRL_DUP_pattern_C	C	DUP	pfc_exc_ul	negative_control	False	838	3583	2716.63	52.1213	-0.0918728	0.192328	0.912221	0.632872		0.632872	5955	511	1882.47	43.3874	0.423785	0.249048	1.52773	0.0888261		0.721523	0.235294	0.470588	0.470588
NEGCTRL_DUP_pattern_C	C	DUP	pfc_inh_cge	negative_control	False	838	3583	2716.63	52.1213	-0.0440291	0.183429	0.956926	0.810305		0.810305	5955	511	1882.47	43.3874	0.600661	0.26881	1.82332	0.0254491		1.24511	0.106546	0.213092	0.213092
NEGCTRL_DUP_pattern_C	C	DUP	pfc_inh_mge	negative_control	False	838	3583	2716.63	52.1213	-0.0377349	0.182092	0.962968	0.83583		0.83583	5955	511	1882.47	43.3874	0.275575	0.249495	1.31729	0.269362		0.547383	0.292058	0.584115	0.584115
